satisfaction_level,last_evaluation,number_of_projects,average_monthly_hours,years_with_company,involved_in_accident,left_company,promoted_last_5_years,department,salary_level
36.0,50.0,2,132,3,0,1,0,technical,low
38.0,52.0,2,161,3,0,1,0,IT,medium
98.0,55.00000000000001,3,260,3,0,0,0,sales,medium
60.0,73.0,5,203,2,0,0,0,IT,medium
60.0,56.99999999999999,3,202,3,0,0,0,support,low
41.0,45.0,2,144,3,1,1,0,product_mng,low
73.0,97.0,4,163,3,0,0,0,sales,medium
26.0,99.0,5,184,5,0,0,0,hr,low
100.0,57.99999999999999,4,229,2,1,0,0,technical,medium
43.0,51.0,2,136,3,0,1,0,hr,medium
86.0,77.0,3,152,3,0,0,1,hr,low
89.0,76.0,3,251,2,1,0,0,sales,low
74.0,79.0,5,121,5,0,0,1,management,high
84.0,91.0,3,199,4,0,0,0,IT,medium
87.0,91.0,4,255,5,0,1,0,support,medium
50.0,91.0,4,144,8,0,0,0,management,medium
89.0,86.0,3,208,3,0,0,0,support,low
51.0,74.0,6,98,3,0,0,0,support,low
49.0,54.0,6,214,3,0,0,0,sales,high
89.0,77.0,5,232,3,0,0,0,sales,low
39.0,56.00000000000001,2,142,3,0,1,0,accounting,low
31.0,54.0,5,132,5,0,1,0,sales,low
67.0,73.0,4,251,3,0,0,0,support,high
64.0,53.0,3,281,3,0,0,0,sales,high
23.0,64.0,3,228,4,1,0,0,technical,medium
55.00000000000001,97.0,4,136,4,0,0,0,sales,low
51.0,73.0,4,174,3,0,0,0,sales,medium
95.0,90.0,3,155,3,0,0,0,technical,medium
52.0,55.00000000000001,5,174,3,1,0,0,sales,medium
11.0,85.0,6,259,4,0,1,0,technical,medium
72.0,99.0,4,156,2,1,0,0,sales,low
59.0,59.0,4,270,2,0,0,0,technical,low
44.0,56.00000000000001,2,145,3,0,1,0,support,medium
70.0,87.0,3,260,2,0,0,0,management,low
70.0,90.0,4,254,3,0,0,0,IT,medium
90.0,54.0,4,172,4,0,0,0,sales,medium
100.0,66.0,4,238,4,0,0,0,accounting,low
60.0,71.0,5,263,2,1,0,0,IT,medium
93.0,73.0,4,156,2,0,0,0,support,low
62.0,87.0,4,221,3,1,0,0,support,low
75.0,81.0,5,227,5,0,1,0,technical,medium
43.0,49.0,2,135,3,0,1,0,accounting,medium
57.99999999999999,77.0,4,190,6,0,0,0,sales,high
37.0,56.99999999999999,2,128,3,0,1,0,sales,medium
50.0,94.0,5,176,4,0,0,0,sales,low
74.0,97.0,4,228,5,0,1,0,hr,low
38.0,86.0,6,139,6,0,1,0,technical,medium
98.0,53.0,4,192,2,1,0,0,sales,low
56.00000000000001,54.0,4,191,2,1,0,1,sales,medium
63.0,78.0,2,158,5,1,0,0,sales,medium
96.0,95.0,6,215,4,0,0,0,IT,low
62.0,92.0,5,169,2,0,0,0,sales,medium
10.0,97.0,6,280,4,0,1,0,sales,low
63.0,72.0,2,161,5,0,0,0,hr,medium
44.0,45.0,2,156,3,0,1,0,hr,medium
97.0,89.0,5,265,2,0,0,0,IT,low
79.0,75.0,2,221,3,0,0,0,product_mng,low
78.0,84.0,3,269,2,0,0,0,technical,medium
71.0,74.0,3,202,2,0,0,0,RandD,medium
81.0,92.0,5,258,3,0,0,1,sales,medium
74.0,88.0,4,248,6,0,1,0,accounting,low
11.0,78.0,7,248,4,0,1,0,sales,medium
88.0,82.0,3,265,3,0,0,0,product_mng,medium
45.0,88.0,5,268,3,1,0,0,support,medium
16.0,82.0,6,202,4,1,0,1,sales,medium
96.0,53.0,5,224,4,0,0,0,sales,low
82.0,57.99999999999999,5,263,8,0,0,0,IT,medium
40.0,46.0,2,130,3,0,1,0,sales,low
65.0,49.0,5,238,4,0,0,0,marketing,high
86.0,86.0,3,173,3,0,0,0,marketing,low
70.0,82.0,3,178,3,0,0,0,IT,low
64.0,56.00000000000001,3,239,3,0,0,0,technical,low
93.0,83.0,4,225,2,0,0,0,sales,medium
88.0,75.0,4,159,2,0,0,0,hr,high
98.0,49.0,3,199,10,0,0,0,technical,medium
59.0,45.0,2,171,2,0,0,0,technical,low
85.0,63.0,4,154,3,0,0,0,hr,low
81.0,99.0,4,259,5,0,1,0,sales,low
65.0,96.0,3,168,2,0,0,0,accounting,low
89.0,83.0,5,130,4,1,1,0,support,medium
75.0,70.0,4,179,2,0,0,0,marketing,low
90.0,79.0,3,222,6,1,0,0,technical,medium
39.0,56.99999999999999,2,127,3,0,1,0,sales,low
76.0,98.0,4,237,5,0,1,0,sales,low
76.0,74.0,3,173,2,0,0,0,sales,low
44.0,38.0,3,197,2,0,0,0,sales,medium
78.0,95.0,4,184,3,0,0,0,sales,low
40.0,53.0,2,127,3,0,1,0,support,low
90.0,74.0,3,227,3,0,0,0,sales,low
37.0,46.0,2,130,3,1,1,0,technical,medium
67.0,83.0,4,195,3,0,0,0,sales,medium
44.0,51.0,2,134,3,0,1,0,hr,medium
11.0,79.0,6,292,4,0,1,0,IT,low
38.0,51.0,2,146,3,0,1,0,IT,medium
16.0,61.0,4,171,6,0,0,0,IT,medium
38.0,54.0,2,128,3,0,1,0,technical,low
39.0,46.0,2,156,3,0,1,0,sales,low
38.0,43.0,2,160,6,0,0,0,sales,medium
49.0,99.0,3,199,3,0,0,0,sales,medium
11.0,81.0,6,305,4,0,1,0,sales,low
81.0,87.0,4,161,2,0,0,0,RandD,medium
48.0,56.00000000000001,3,229,3,0,0,0,technical,low
80.0,62.0,3,191,3,0,0,0,support,medium
74.0,50.0,4,265,3,0,0,0,technical,medium
10.0,86.0,6,278,4,0,1,0,technical,high
55.00000000000001,61.0,4,272,4,1,0,0,marketing,low
63.0,75.0,4,175,4,0,0,0,hr,medium
64.0,43.0,5,269,3,0,0,0,sales,medium
76.0,97.0,3,271,3,0,0,0,sales,low
23.0,67.0,4,163,5,0,0,1,support,low
73.0,100.0,4,268,5,0,1,0,sales,medium
59.0,68.0,5,243,2,0,0,0,support,medium
51.0,56.00000000000001,4,168,2,0,0,0,sales,low
92.0,88.0,4,151,3,0,0,0,technical,low
87.0,100.0,3,148,3,0,0,0,marketing,low
92.0,89.0,4,236,4,1,0,0,technical,medium
99.0,69.0,3,206,2,0,0,0,marketing,medium
96.0,76.0,4,152,3,1,0,0,accounting,low
85.0,54.0,3,185,10,0,0,1,management,high
97.0,64.0,4,152,2,0,0,0,technical,medium
10.0,96.0,7,301,4,0,1,0,hr,low
59.0,47.0,3,159,4,0,0,0,product_mng,low
66.0,85.0,3,178,8,1,0,0,marketing,medium
55.00000000000001,55.00000000000001,5,256,3,0,0,0,RandD,medium
40.0,50.0,2,128,3,0,1,0,sales,low
42.0,54.0,2,156,3,0,1,0,sales,medium
18.0,50.0,4,169,4,0,0,0,sales,low
79.0,86.0,5,270,2,0,0,0,management,low
71.0,89.0,3,222,3,0,0,0,accounting,low
92.0,55.00000000000001,4,183,3,0,0,0,technical,low
80.0,76.0,3,270,2,1,0,0,marketing,low
81.0,76.0,3,203,3,0,0,0,RandD,medium
68.0,97.0,3,174,2,0,0,0,support,low
50.0,60.0,2,177,3,1,0,0,IT,medium
71.0,41.0,5,107,4,0,0,0,technical,medium
77.0,55.00000000000001,3,217,3,0,0,0,support,medium
81.0,99.0,3,239,2,1,0,0,technical,low
57.99999999999999,87.0,4,181,3,0,0,0,IT,medium
99.0,61.0,3,154,3,0,0,0,sales,medium
65.0,69.0,6,131,5,0,0,0,IT,medium
81.0,64.0,4,213,3,0,0,0,support,medium
9.0,96.0,6,259,4,0,1,0,support,low
86.0,56.00000000000001,4,247,3,0,0,1,technical,high
67.0,97.0,4,196,3,0,0,0,support,medium
88.0,59.0,6,243,4,0,0,0,RandD,high
67.0,66.0,3,151,3,0,0,0,technical,low
35.0,67.0,3,119,3,0,0,1,marketing,medium
38.0,51.0,2,159,3,0,1,0,sales,low
37.0,53.0,2,147,3,0,1,0,RandD,low
72.0,87.0,5,223,5,0,1,0,sales,low
84.0,92.0,4,234,5,0,1,0,sales,low
37.0,56.99999999999999,2,129,3,0,1,0,product_mng,low
62.0,66.0,5,165,3,0,0,0,technical,low
76.0,85.0,3,192,3,0,0,0,marketing,low
51.0,63.0,3,234,2,0,0,0,sales,high
84.0,99.0,4,262,6,0,1,0,accounting,medium
98.0,57.99999999999999,4,133,3,0,0,0,sales,low
79.0,61.0,5,96,4,0,0,0,marketing,medium
24.0,56.99999999999999,5,232,3,0,0,0,sales,medium
30.0,47.0,2,159,4,0,0,0,sales,medium
39.0,36.0,3,168,3,1,0,0,sales,low
73.0,54.0,4,167,3,0,0,0,IT,medium
83.0,64.0,3,242,3,0,0,0,accounting,low
10.0,97.0,6,254,5,0,1,0,sales,medium
74.0,63.0,3,230,2,0,0,0,product_mng,low
84.0,53.0,3,210,4,1,0,0,marketing,medium
95.0,63.0,3,249,3,0,0,0,management,low
64.0,45.0,3,135,6,0,0,0,sales,low
44.0,56.00000000000001,2,127,3,0,1,0,IT,low
64.0,91.0,3,165,3,1,0,0,support,low
98.0,81.0,3,153,4,0,0,0,technical,medium
75.0,98.0,3,206,2,0,0,0,hr,low
24.0,54.0,6,193,4,0,0,0,support,medium
84.0,83.0,3,215,3,0,0,0,accounting,high
91.0,91.0,4,262,6,0,1,0,support,low
31.0,84.0,7,133,5,0,1,0,technical,low
61.0,57.99999999999999,2,264,4,0,1,0,technical,low
13.0,60.0,3,178,5,0,0,0,support,low
65.0,63.0,4,143,8,0,0,0,management,medium
74.0,91.0,4,232,5,0,1,0,technical,medium
85.0,91.0,4,145,3,0,0,0,support,medium
65.0,56.00000000000001,3,142,3,0,0,0,sales,low
51.0,66.0,4,182,2,0,0,0,sales,medium
52.0,56.99999999999999,3,270,3,0,0,0,RandD,low
100.0,93.0,5,167,3,0,0,0,sales,medium
48.0,98.0,3,257,2,0,0,0,support,medium
84.0,74.0,4,226,2,0,0,0,accounting,high
71.0,79.0,3,189,3,0,0,0,IT,medium
55.00000000000001,69.0,3,225,2,0,0,0,sales,medium
81.0,79.0,4,222,3,0,0,0,support,medium
73.0,63.0,3,172,4,1,0,0,accounting,low
77.0,89.0,2,215,5,1,0,0,management,medium
71.0,92.0,3,202,4,0,0,0,technical,low
43.0,50.0,2,135,3,0,1,0,product_mng,medium
70.0,68.0,3,150,3,0,0,0,support,low
15.0,94.0,5,244,6,0,0,0,technical,high
45.0,54.0,2,129,3,0,1,0,marketing,high
15.0,75.0,3,150,4,0,0,1,accounting,medium
83.0,98.0,4,254,5,0,1,0,technical,low
52.0,69.0,3,144,3,0,0,0,sales,medium
57.99999999999999,77.0,4,140,3,0,0,0,RandD,low
37.0,86.0,6,260,3,0,0,0,technical,medium
71.0,94.0,4,246,3,0,0,0,marketing,low
45.0,53.0,2,155,3,0,1,0,IT,low
68.0,54.0,4,146,4,0,0,1,marketing,medium
43.0,55.00000000000001,2,129,3,0,1,0,sales,low
11.0,83.0,6,268,4,0,1,0,product_mng,low
32.0,95.0,5,172,2,0,1,0,sales,low
83.0,80.0,4,149,3,0,0,0,management,low
56.99999999999999,85.0,4,250,3,1,0,1,marketing,low
60.0,90.0,4,260,2,0,0,0,sales,medium
60.0,97.0,3,187,3,1,0,0,sales,medium
36.0,78.0,2,151,4,0,1,0,technical,low
65.0,63.0,4,143,8,0,0,0,management,medium
67.0,83.0,3,260,3,0,0,0,technical,low
73.0,65.0,3,165,3,0,0,0,IT,low
64.0,92.0,5,211,2,1,0,0,IT,medium
92.0,91.0,3,228,2,0,0,1,marketing,medium
23.0,94.0,4,142,4,0,0,0,sales,medium
89.0,87.0,5,225,5,0,1,0,product_mng,low
96.0,64.0,3,166,2,0,0,0,accounting,medium
56.99999999999999,78.0,3,134,3,0,0,0,RandD,medium
63.0,100.0,5,244,2,0,0,0,hr,medium
79.0,94.0,4,216,4,0,0,0,sales,medium
14.000000000000002,98.0,6,221,5,0,0,0,IT,low
69.0,59.0,4,266,4,0,0,0,technical,medium
37.0,71.0,2,139,4,0,0,0,RandD,high
94.0,80.0,5,111,4,0,0,1,RandD,medium
76.0,60.0,4,177,2,0,0,0,support,low
68.0,49.0,3,230,3,0,0,0,technical,medium
82.0,57.99999999999999,2,248,6,0,0,0,management,low
85.0,81.0,4,164,4,0,0,0,sales,medium
90.0,100.0,5,221,6,0,1,0,sales,medium
66.0,54.0,5,203,2,0,0,0,sales,medium
70.0,79.0,6,257,4,0,0,0,technical,medium
82.0,67.0,3,198,3,1,0,0,product_mng,low
50.0,95.0,3,198,4,0,0,0,accounting,low
11.0,84.0,6,300,5,1,1,0,support,low
41.0,50.0,3,193,3,0,0,0,sales,medium
59.0,49.0,7,263,4,0,1,0,technical,medium
50.0,63.0,4,229,4,0,0,0,sales,low
56.00000000000001,85.0,5,230,3,0,0,0,accounting,medium
45.0,56.99999999999999,2,149,3,0,1,0,marketing,low
85.0,50.0,4,267,3,0,0,0,sales,low
38.0,50.0,2,152,3,0,1,0,sales,high
72.0,54.0,4,219,2,0,0,0,technical,medium
72.0,47.0,5,168,6,0,0,0,sales,high
19.0,76.0,3,107,5,0,0,0,support,low
82.0,59.0,5,201,3,0,0,0,RandD,low
69.0,80.0,5,215,3,0,0,0,sales,low
72.0,76.0,4,144,3,1,0,0,accounting,low
74.0,77.0,3,211,3,0,0,0,management,high
10.0,93.0,6,298,4,0,1,0,technical,medium
34.0,69.0,3,155,3,0,0,0,marketing,medium
54.0,57.99999999999999,3,169,2,1,0,0,technical,high
71.0,92.0,4,248,3,1,0,0,sales,low
10.0,79.0,7,310,4,0,1,0,hr,medium
45.0,54.0,2,142,3,0,1,0,hr,medium
72.0,66.0,3,167,3,0,0,0,accounting,medium
13.0,80.0,5,203,5,0,0,0,sales,medium
56.99999999999999,64.0,4,226,7,0,0,0,sales,low
10.0,87.0,6,290,4,0,1,0,support,low
73.0,100.0,4,252,5,0,1,0,technical,medium
10.0,87.0,6,250,4,0,1,0,sales,low
81.0,78.0,4,159,3,0,0,0,support,low
11.0,86.0,6,308,4,0,1,0,IT,low
51.0,60.0,7,243,5,0,1,0,technical,medium
50.0,54.0,5,173,2,0,0,0,accounting,medium
99.0,81.0,3,183,2,0,0,0,technical,low
69.0,81.0,5,217,2,0,0,0,technical,medium
84.0,100.0,5,250,5,0,1,0,sales,low
72.0,80.0,5,244,3,0,0,0,IT,medium
73.0,69.0,3,228,2,0,0,1,sales,medium
72.0,93.0,4,148,2,0,0,0,sales,low
43.0,47.0,2,135,3,0,1,0,sales,low
85.0,87.0,5,245,5,0,1,0,technical,low
41.0,48.0,2,145,3,0,1,0,accounting,medium
11.0,79.0,7,306,4,0,1,0,product_mng,medium
49.0,63.0,6,265,3,0,1,0,technical,low
10.0,90.0,7,269,4,0,1,0,accounting,medium
10.0,93.0,7,305,4,0,1,0,technical,medium
45.0,54.0,2,152,3,0,1,0,sales,low
39.0,54.0,2,154,3,0,1,0,marketing,low
50.0,83.0,5,258,2,0,0,0,IT,low
88.0,100.0,5,219,5,0,1,0,technical,low
52.0,75.0,4,266,3,0,0,0,marketing,medium
41.0,50.0,6,151,2,0,0,0,technical,low
16.0,46.0,6,240,2,0,0,0,product_mng,low
79.0,87.0,5,261,5,0,1,0,sales,low
21.0,60.0,5,249,4,0,0,0,sales,medium
93.0,71.0,5,270,2,0,0,0,technical,high
44.0,74.0,4,250,6,0,0,0,RandD,medium
53.0,82.0,5,184,3,0,0,0,sales,medium
88.0,77.0,3,279,3,1,0,0,sales,medium
49.0,61.0,3,181,3,0,0,0,product_mng,medium
65.0,37.0,3,170,6,0,0,0,IT,low
68.0,52.0,5,203,3,0,0,0,IT,low
81.0,90.0,4,226,5,0,1,0,product_mng,medium
20.0,70.0,4,221,5,0,0,0,hr,medium
11.0,84.0,6,251,4,0,1,0,technical,low
83.0,98.0,5,187,4,0,0,0,hr,medium
15.0,75.0,3,150,4,0,0,1,accounting,medium
37.0,51.0,2,132,3,0,1,0,technical,medium
53.0,41.0,2,148,2,1,0,0,sales,medium
53.0,49.0,3,191,3,0,0,0,support,high
18.0,54.0,6,209,5,1,0,0,sales,low
51.0,98.0,4,171,2,0,0,0,RandD,low
99.0,83.0,4,274,2,0,0,0,sales,low
15.0,62.0,4,257,3,0,1,0,hr,low
39.0,49.0,2,129,3,0,1,0,technical,medium
52.0,88.0,3,179,2,1,0,0,support,low
69.0,70.0,4,169,2,0,0,0,sales,low
10.0,80.0,6,261,4,0,1,0,RandD,low
71.0,72.0,4,137,3,0,0,0,sales,medium
47.0,90.0,3,101,2,1,0,0,marketing,medium
80.0,78.0,3,175,3,0,0,0,technical,medium
94.0,73.0,4,204,2,0,0,0,sales,low
66.0,85.0,5,271,4,0,0,0,product_mng,low
54.0,77.0,4,271,3,0,0,0,support,medium
39.0,54.0,2,149,3,0,1,0,RandD,low
97.0,77.0,3,206,4,0,0,0,support,medium
67.0,83.0,3,220,3,0,0,0,sales,low
50.0,87.0,3,252,2,0,0,0,support,low
10.0,92.0,6,258,4,0,1,0,technical,low
96.0,66.0,4,268,3,0,0,0,sales,medium
94.0,51.0,6,239,5,0,0,0,sales,medium
73.0,57.99999999999999,5,230,3,0,0,0,sales,low
9.0,94.0,6,283,5,0,1,0,IT,low
55.00000000000001,73.0,4,201,3,0,0,0,sales,low
74.0,80.0,4,241,2,0,0,0,sales,medium
82.0,83.0,4,245,5,1,1,0,sales,low
94.0,84.0,5,203,3,0,0,0,technical,low
82.0,63.0,3,171,3,0,0,0,sales,medium
69.0,56.99999999999999,5,245,2,1,0,0,sales,low
55.00000000000001,76.0,4,233,4,0,0,0,IT,low
91.0,57.99999999999999,3,172,3,0,0,0,hr,low
89.0,53.0,4,208,3,0,0,0,sales,high
99.0,72.0,3,220,2,1,0,0,product_mng,low
34.0,63.0,5,248,3,0,0,0,sales,low
53.0,37.0,3,180,3,0,0,0,support,medium
40.0,53.0,2,151,3,0,1,0,IT,low
99.0,96.0,5,261,3,0,0,0,support,high
83.0,72.0,4,161,3,0,0,0,hr,low
22.0,51.0,4,131,2,0,0,0,technical,medium
49.0,83.0,3,172,2,0,0,0,sales,medium
77.0,73.0,3,269,2,0,0,0,support,medium
30.0,44.0,3,129,2,0,0,0,technical,medium
42.0,40.0,3,160,2,0,0,0,technical,low
38.0,55.00000000000001,2,134,3,0,1,0,support,low
9.0,93.0,6,279,4,0,1,0,technical,low
67.0,91.0,2,245,2,1,0,1,sales,medium
13.0,74.0,6,132,4,1,0,0,technical,medium
39.0,52.0,2,102,8,0,0,0,technical,medium
60.0,56.99999999999999,2,184,3,0,0,0,sales,medium
60.0,48.0,4,219,4,1,0,0,sales,medium
93.0,54.0,4,239,2,0,0,0,technical,medium
49.0,86.0,4,246,2,0,0,0,product_mng,medium
61.0,59.0,3,237,2,0,0,0,technical,high
86.0,77.0,5,237,3,1,0,0,technical,low
69.0,61.0,4,260,4,0,0,0,technical,medium
69.0,43.0,5,113,8,0,0,0,technical,medium
40.0,47.0,2,136,3,0,1,0,hr,medium
17.0,56.99999999999999,5,286,3,0,0,0,sales,low
56.00000000000001,56.00000000000001,5,229,4,1,0,0,support,low
57.99999999999999,77.0,4,145,3,1,0,0,support,low
85.0,55.00000000000001,3,226,4,0,0,0,IT,low
91.0,82.0,3,145,3,1,0,0,support,medium
93.0,87.0,5,154,2,0,0,0,technical,medium
67.0,39.0,2,207,7,0,0,0,sales,medium
76.0,87.0,4,161,3,0,0,0,sales,high
74.0,54.0,4,167,2,0,0,0,sales,medium
54.0,49.0,4,152,3,1,0,0,sales,medium
74.0,73.0,3,156,8,0,0,0,management,medium
10.0,83.0,5,271,5,0,1,0,support,low
80.0,87.0,4,209,3,0,0,0,product_mng,low
62.0,79.0,4,216,2,1,0,0,technical,low
24.0,76.0,6,213,4,0,0,0,support,medium
17.0,76.0,4,280,5,0,0,0,hr,low
22.0,64.0,6,260,4,0,0,0,hr,high
37.0,48.0,2,159,3,0,1,0,sales,low
59.0,100.0,4,169,2,0,0,0,technical,low
88.0,57.99999999999999,5,264,3,0,0,0,technical,low
57.99999999999999,63.0,4,159,3,0,0,0,technical,medium
11.0,95.0,6,286,4,0,1,0,technical,medium
12.0,90.0,3,200,3,0,0,0,support,low
10.0,83.0,6,300,4,0,1,0,marketing,medium
37.0,49.0,2,148,3,0,1,0,sales,low
88.0,81.0,4,235,6,0,0,0,sales,medium
71.0,51.0,4,202,3,0,0,0,IT,medium
44.0,65.0,2,151,3,0,0,0,RandD,medium
75.0,53.0,4,224,4,1,0,0,support,medium
52.0,54.0,5,247,4,0,0,0,technical,high
36.0,51.0,2,143,3,0,1,0,technical,low
73.0,48.0,4,139,5,0,0,0,sales,medium
75.0,64.0,3,195,3,0,0,0,sales,high
44.0,49.0,2,130,3,0,1,0,sales,medium
90.0,60.0,4,252,3,0,0,0,support,low
69.0,64.0,4,190,4,0,0,0,technical,medium
76.0,78.0,3,162,3,0,0,0,technical,medium
43.0,51.0,2,131,3,0,1,0,sales,medium
71.0,64.0,4,189,3,0,0,0,technical,medium
42.0,54.0,2,156,3,0,1,0,sales,medium
68.0,63.0,5,185,4,0,0,0,technical,medium
75.0,100.0,5,223,6,0,1,0,accounting,medium
21.0,66.0,4,165,5,0,0,0,support,low
54.0,76.0,3,199,4,0,0,0,sales,low
86.0,56.99999999999999,3,162,7,0,0,0,sales,medium
97.0,67.0,2,147,2,0,0,0,sales,medium
51.0,71.0,5,154,2,0,0,0,product_mng,medium
10.0,89.0,7,291,4,0,1,0,support,medium
56.99999999999999,60.0,2,163,3,0,0,0,sales,medium
21.0,76.0,4,165,6,1,0,0,product_mng,low
69.0,97.0,5,240,4,0,0,0,technical,medium
16.0,73.0,4,197,2,0,0,0,technical,low
72.0,87.0,3,238,3,0,0,0,IT,medium
97.0,89.0,4,248,2,0,0,0,sales,low
96.0,85.0,4,247,3,0,0,0,sales,high
91.0,63.0,5,240,7,0,0,0,sales,medium
53.0,43.0,2,139,3,0,0,0,support,high
97.0,61.0,4,167,3,0,0,1,accounting,high
87.0,91.0,4,228,5,0,1,0,sales,low
56.00000000000001,68.0,3,208,3,1,0,0,support,medium
78.0,51.0,4,278,3,0,0,0,management,medium
50.0,77.0,4,180,3,0,0,0,sales,medium
34.0,72.0,3,118,4,0,0,0,IT,low
61.0,46.0,3,171,3,0,0,0,IT,medium
83.0,93.0,3,247,2,0,0,0,hr,low
49.0,49.0,3,168,7,0,0,0,sales,low
32.0,48.0,4,117,10,0,0,1,marketing,medium
50.0,81.0,3,148,2,0,0,0,sales,low
87.0,94.0,4,189,3,0,0,1,sales,medium
38.0,54.0,2,143,3,0,1,0,sales,low
45.0,49.0,2,134,3,0,1,0,RandD,medium
80.0,74.0,4,221,4,0,0,0,product_mng,low
80.0,99.0,3,248,3,1,0,0,sales,medium
78.0,96.0,5,272,5,0,1,0,sales,low
67.0,75.0,4,133,2,0,0,0,IT,medium
66.0,53.0,4,162,3,0,0,0,sales,low
66.0,81.0,3,174,3,0,0,0,technical,low
51.0,83.0,5,161,3,0,0,0,IT,low
12.0,78.0,6,260,5,0,0,0,management,medium
47.0,55.00000000000001,4,122,5,1,0,0,marketing,medium
68.0,100.0,3,148,4,1,0,0,sales,low
41.0,47.0,2,154,3,0,1,0,sales,low
12.0,82.0,5,162,4,1,0,0,sales,medium
37.0,48.0,2,159,3,0,1,0,sales,low
52.0,61.0,3,203,3,0,0,0,sales,high
60.0,98.0,4,195,3,0,0,0,support,medium
11.0,88.0,6,294,4,0,1,0,IT,medium
11.0,80.0,6,282,4,0,1,0,technical,medium
44.0,51.0,2,150,3,0,1,0,support,low
95.0,90.0,3,259,2,0,0,0,support,low
60.0,85.0,2,226,2,1,0,0,technical,medium
67.0,100.0,3,201,4,0,0,0,marketing,medium
74.0,82.0,4,239,6,0,1,0,IT,low
10.0,84.0,6,286,4,0,1,0,product_mng,low
63.0,74.0,4,155,2,0,0,0,sales,medium
51.0,78.0,3,155,2,0,0,0,management,low
44.0,66.0,3,162,2,0,0,0,sales,medium
78.0,74.0,6,251,4,0,0,0,technical,low
92.0,64.0,4,217,4,0,0,0,RandD,medium
94.0,65.0,4,213,2,1,0,0,IT,low
82.0,74.0,3,163,2,0,0,0,sales,high
51.0,57.99999999999999,3,155,3,0,0,0,sales,low
46.0,48.0,2,129,3,0,1,0,sales,low
84.0,55.00000000000001,3,135,3,0,0,0,hr,medium
75.0,86.0,6,148,4,0,0,0,sales,low
65.0,64.0,3,223,4,0,0,0,sales,low
74.0,67.0,4,148,3,0,0,0,accounting,medium
97.0,79.0,5,259,3,0,0,1,support,medium
52.0,51.0,3,218,2,1,0,0,technical,medium
73.0,60.0,3,137,3,0,0,0,hr,medium
60.0,92.0,2,258,5,0,1,0,sales,low
51.0,89.0,3,230,4,0,0,0,marketing,low
41.0,86.0,6,215,5,0,0,0,sales,low
83.0,80.0,3,273,3,0,0,0,sales,low
33.0,40.0,6,214,6,0,0,0,marketing,medium
11.0,90.0,6,254,4,0,1,0,technical,low
54.0,74.0,4,160,6,0,0,0,technical,low
43.0,47.0,2,129,3,0,1,0,marketing,low
73.0,72.0,4,233,2,0,0,0,sales,low
11.0,93.0,6,282,4,0,1,0,sales,low
88.0,51.0,3,208,3,0,0,0,hr,medium
68.0,89.0,3,241,3,0,0,0,hr,low
50.0,55.00000000000001,3,176,3,0,0,0,sales,low
82.0,65.0,5,178,7,1,0,0,sales,medium
41.0,50.0,2,153,3,0,1,0,technical,medium
44.0,51.0,2,145,3,0,1,0,marketing,low
51.0,73.0,3,205,4,0,0,0,accounting,high
15.0,74.0,6,144,7,0,0,1,management,high
38.0,46.0,2,145,3,0,1,0,hr,medium
64.0,74.0,3,267,2,0,0,0,support,medium
100.0,73.0,5,189,3,1,0,0,product_mng,low
35.0,59.0,3,281,2,0,0,0,technical,medium
90.0,88.0,4,174,3,0,0,0,RandD,low
60.0,91.0,5,211,3,0,0,0,sales,low
55.00000000000001,97.0,4,162,3,0,0,0,RandD,low
84.0,99.0,4,134,3,0,0,0,product_mng,medium
99.0,86.0,4,206,2,0,0,0,support,low
75.0,75.0,3,273,3,0,0,0,marketing,medium
96.0,85.0,5,168,2,0,0,0,support,low
46.0,79.0,2,108,3,0,0,0,sales,low
85.0,66.0,5,189,3,0,0,0,sales,medium
67.0,81.0,3,221,4,1,0,0,accounting,medium
55.00000000000001,51.0,3,192,3,0,0,0,accounting,medium
77.0,68.0,3,214,8,1,0,0,management,high
66.0,96.0,4,103,2,0,0,0,technical,low
45.0,62.0,6,129,5,0,0,0,support,low
89.0,92.0,4,165,5,0,0,0,hr,medium
48.0,82.0,3,183,2,0,0,0,hr,low
95.0,37.0,6,233,5,0,0,0,RandD,medium
65.0,56.00000000000001,3,259,3,0,0,0,marketing,medium
65.0,66.0,6,240,4,0,0,0,RandD,medium
63.0,94.0,3,179,2,0,1,0,support,medium
96.0,57.99999999999999,5,197,4,1,0,0,IT,low
94.0,73.0,3,196,3,0,0,0,hr,medium
77.0,55.00000000000001,3,217,3,0,0,0,support,medium
98.0,72.0,3,252,2,0,0,0,IT,low
36.0,61.0,4,166,4,0,0,0,technical,low
10.0,97.0,6,247,4,0,1,0,management,medium
63.0,80.0,3,243,3,0,0,0,technical,medium
76.0,89.0,4,224,2,0,0,0,product_mng,low
72.0,39.0,3,257,3,0,0,0,technical,low
37.0,49.0,2,151,3,0,1,0,technical,medium
61.0,55.00000000000001,3,245,3,0,0,0,sales,medium
23.0,74.0,5,219,4,0,0,0,sales,medium
38.0,45.0,2,129,3,0,1,0,support,medium
49.0,75.0,4,259,3,1,0,0,technical,low
25.0,90.0,6,229,8,0,0,0,sales,medium
77.0,89.0,5,152,3,0,0,0,support,medium
67.0,55.00000000000001,5,239,2,0,0,0,marketing,medium
96.0,59.0,2,265,2,0,0,0,RandD,low
85.0,87.0,4,152,7,0,0,0,sales,low
60.0,63.0,5,267,3,0,0,0,support,low
